node_id,node_type,name,subclass,source,hmdb_id,is_metrs,functional_role,highlight,source_set,degree,betweenness,is_compound_hub,is_protein_hub,eigenvector,pagerank,combined_score,is_topology_hub
GO:0046322,BiologicalProcess,negative regulation of fatty acid oxidation,,,,FALSE,,FALSE,fig2d,3,0.01352,FALSE,FALSE,0.04079,0.00573,0.11015,TRUE
GO:0070857,BiologicalProcess,"regulation of bile acid
biosynthetic process",,,,FALSE,,TRUE,fig2d,3,0.01248,FALSE,FALSE,0.07275,0.00627,0.12760,TRUE
GO:0019470,BiologicalProcess,4-hydroxyproline catabolic process,,,,FALSE,,FALSE,fig2d,4,0.02915,FALSE,FALSE,0.00039,0.00940,0.05077,FALSE
GO:0019471,BiologicalProcess,4-hydroxyproline metabolic process,,,,FALSE,,FALSE,fig2d,2,0.01190,FALSE,FALSE,0.00016,0.00617,0.02444,FALSE
GO:0019482,BiologicalProcess,beta-alanine metabolic process,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00020,0.00336,0.00000,FALSE
GO:0006212,BiologicalProcess,uracil catabolic process,,,,FALSE,,FALSE,fig2d,2,0.01190,FALSE,FALSE,0.00021,0.00633,0.02638,FALSE
GO:0019372,BiologicalProcess,lipoxygenase pathway,,,,FALSE,,FALSE,fig2d,4,0.02958,FALSE,FALSE,0.00217,0.01047,0.08041,FALSE
GO:0006601,BiologicalProcess,creatine biosynthetic process,,,,FALSE,,FALSE,fig2d,2,0.01190,FALSE,FALSE,0.00096,0.00612,0.03838,FALSE
WP465,Pathway,Tryptophan metabolism,,,,FALSE,,TRUE,fig2d,5,0.05017,FALSE,FALSE,0.00164,0.00880,0.08659,TRUE
WP5044,Pathway,Kynurenine pathway and links to cell senescence,,,,FALSE,,FALSE,fig2d,3,0.00255,FALSE,FALSE,0.00142,0.00522,0.03065,FALSE
WP4210,Pathway,Tryptophan catabolism leading to NAD production,,,,FALSE,,FALSE,fig2d,2,0.00027,FALSE,FALSE,0.00042,0.00392,0.01087,FALSE
WP5414,Pathway,IDO metabolic pathway,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00027,0.00234,0.00000,FALSE
WP2485,Pathway,NAD biosynthesis II from tryptophan,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00095,0.00234,0.00000,FALSE
WP1995,Pathway,Effects of nitric oxide,,,,FALSE,,FALSE,fig2d,2,0.00354,FALSE,FALSE,0.03242,0.00424,0.06236,TRUE
WP2034,Pathway,Leptin signaling pathway,,,,FALSE,,TRUE,fig2d,2,0.00186,FALSE,FALSE,0.06168,0.00386,0.06087,TRUE
WP3934,Pathway,Leptin and adiponectin,,,,FALSE,,FALSE,fig2d,2,0.00009,FALSE,FALSE,0.06581,0.00364,0.02837,FALSE
WP481,Pathway,Insulin signaling,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00674,0.00256,0.00000,FALSE
WP143,Pathway,"Fatty acid
beta oxidation",,,,FALSE,,TRUE,fig2d,1,0.00000,FALSE,FALSE,0.01480,0.00258,0.00000,FALSE
WP368,Pathway,Mitochondrial long chain fatty acid beta oxidation,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.01480,0.00258,0.00000,FALSE
WP357,Pathway,Fatty acid biosynthesis,,,,FALSE,,FALSE,fig2d,2,0.00294,FALSE,FALSE,0.00585,0.00434,0.03902,FALSE
WP78,Pathway,TCA cycle,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00332,0.00311,0.00000,FALSE
WP111,Pathway,Electron transport chain OXPHOS system in mitochondria,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00332,0.00311,0.00000,FALSE
WP4920,Pathway,Mitochondrial complex II assembly,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00332,0.00311,0.00000,FALSE
WP4396,Pathway,"Nonalcoholic fatty
liver disease",,,,FALSE,,TRUE,fig2d,5,0.03589,FALSE,FALSE,0.13373,0.00857,0.23779,TRUE
WP1541,Pathway,Energy metabolism,,,,FALSE,,FALSE,fig2d,3,0.01695,FALSE,FALSE,0.09583,0.00531,0.14160,TRUE
WP3965,Pathway,Lipid metabolism pathway,,,,FALSE,,FALSE,fig2d,2,0.00172,FALSE,FALSE,0.00825,0.00431,0.03714,FALSE
WP2011,Pathway,SREBF and miR33 in cholesterol and lipid homeostasis,,,,FALSE,,FALSE,fig2d,2,0.00040,FALSE,FALSE,0.06964,0.00368,0.04225,FALSE
WP299,Pathway,Nuclear receptors in lipid metabolism and toxicity,,,,FALSE,,FALSE,fig2d,3,0.00685,FALSE,FALSE,0.11983,0.00525,0.11902,TRUE
WP4313,Pathway,Ferroptosis,,,,FALSE,,FALSE,fig2d,2,0.00585,FALSE,FALSE,0.00205,0.00518,0.03727,FALSE
WP4721,Pathway,Eicosanoid metabolism via lipooxygenases (LOX),,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00193,0.00292,0.00000,FALSE
WP167,Pathway,Eicosanoid synthesis,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00193,0.00292,0.00000,FALSE
WP3942,Pathway,"PPAR signaling
pathway",,,,FALSE,,TRUE,fig2d,2,0.00125,FALSE,FALSE,0.08909,0.00364,0.05954,FALSE
WP2895,Pathway,Differentiation of white and brown adipocyte,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.04145,0.00231,0.00000,FALSE
WP5452,Pathway,"GLP-1 from intestine/pancreas
and role in glucose homeostasis",,,,FALSE,,TRUE,fig2d,2,0.02367,FALSE,FALSE,0.02422,0.00509,0.09758,TRUE
WP5446,Pathway,GLP-1 secretion from intestine to portal vein,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.02353,0.00256,0.00000,FALSE
WP5447,Pathway,GLP-1 in pancreatic islet cells,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00069,0.00342,0.00000,FALSE
WP5445,Pathway,Hunger and satiety,,,,FALSE,,FALSE,fig2d,2,0.11191,FALSE,FALSE,0.02448,0.00401,0.13597,TRUE
WP4321,Pathway,Thermogenesis,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.02353,0.00256,0.00000,FALSE
WP5190,Pathway,Creatine pathway,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00093,0.00316,0.00000,FALSE
WP4595,Pathway,Urea cycle and associated pathways,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.02673,0.00248,0.00000,FALSE
WP497,Pathway,Urea cycle and metabolism of amino groups,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00093,0.00316,0.00000,FALSE
WP4315,Pathway,Malate aspartate shuttle,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00006,0.00288,0.00000,FALSE
WP3925,Pathway,Amino acid metabolism,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00006,0.00288,0.00000,FALSE
WP5123,Pathway,Mitochondrial fatty acid oxidation disorders,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.01480,0.00258,0.00000,FALSE
WP5283,Pathway,Chronic hyperglycemia impairment of neuron function,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.00568,0.00266,0.00000,FALSE
WP4172,Pathway,PI3K Akt signaling pathway,,,,FALSE,,FALSE,fig2d,1,0.00000,FALSE,FALSE,0.02673,0.00248,0.00000,FALSE
DOID:9970,Disease,obesity,,,,FALSE,,TRUE,fig2d,16,0.36096,FALSE,FALSE,0.43275,0.02575,1.00000,TRUE
DOID:9352,Disease,type 2 diabetes mellitus,,,,FALSE,,TRUE,fig2d,10,0.08469,FALSE,FALSE,0.32520,0.01550,0.50747,TRUE
